6378.1366, 3.9860043550702266E+05, 0.0000000000000000E+00, 1199, 1199,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    0,    0, 1.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    0, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    1, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    2,    0,-4.8416926383299999E-04, 0.0000000000000000E+00, 4.6971999999999998E-11, 0.0000000000000000E+00             
    2,    1,-2.2346624446610000E-10, 1.4647155266730000E-09, 7.8029999999999998E-12, 7.8658999999999994E-12             
    2,    2, 2.4393501133689998E-06,-1.4002965404410000E-06, 7.8219000000000000E-12, 7.8230000000000001E-12             
    3,    0, 9.5720279022079997E-07, 0.0000000000000000E+00, 9.8711000000000006E-12, 0.0000000000000000E+00             
    3,    1, 2.0304663881820002E-06, 2.4820804336530002E-07, 4.5103999999999998E-12, 4.5187000000000001E-12             
    3,    2, 9.0478465244310000E-07,-6.1899426810830003E-07, 6.8362999999999999E-12, 6.8364000000000002E-12             
    3,    3, 7.2128718820099995E-07, 1.4143682087789999E-06, 1.2810000000000001E-11, 1.2822000000000000E-11             
    4,    0, 5.3999641060709998E-07, 0.0000000000000000E+00, 4.2423000000000002E-12, 0.0000000000000000E+00             
    4,    1,-5.3615442379020000E-07,-4.7356800404170000E-07, 4.4140999999999999E-12, 4.4094000000000002E-12             
    4,    2, 3.5049589683850000E-07, 6.6248555624700002E-07, 6.0223999999999999E-12, 6.0210000000000003E-12             
    4,    3, 9.9085863250329997E-07,-2.0094766854810001E-07, 9.7328000000000007E-12, 9.7274999999999995E-12             
    4,    4,-1.8849763091010001E-07, 3.0881351842120002E-07, 1.1386000000000000E-11, 1.1371000000000001E-11             
    5,    0, 6.8665740572910001E-08, 0.0000000000000000E+00, 2.2577000000000000E-12, 0.0000000000000000E+00             
    5,    1,-6.2924287490879995E-08,-9.4374286401359998E-08, 2.3613000000000000E-12, 2.3588000000000000E-12             
    5,    2, 6.5207785776380000E-07,-3.2334961725869999E-07, 2.9361000000000000E-12, 2.9347000000000000E-12             
    5,    3,-4.5185375141239997E-07,-2.1495610375720001E-07, 5.4357999999999999E-12, 5.4380000000000001E-12             
    5,    4,-2.9533077232799999E-07, 4.9809256786939998E-08, 7.9587000000000000E-12, 7.9523000000000004E-12             
    5,    5, 1.7480402833379999E-07,-6.6937037817649997E-07, 1.1109000000000000E-11, 1.1100000000000001E-11             
    6,    0,-1.4995962048359999E-07, 0.0000000000000000E+00, 2.2328999999999999E-12, 0.0000000000000000E+00             
    6,    1,-7.5925057972360003E-08, 2.6513788433890000E-08, 2.3232000000000000E-12, 2.3207000000000000E-12             
    6,    2, 4.8645397502730003E-08,-3.7379209151470002E-07, 2.8308000000000000E-12, 2.8289000000000002E-12             
    6,    3, 5.7243349355600003E-08, 8.9524734512779999E-09, 3.4989000000000000E-12, 3.4973000000000001E-12             
    6,    4,-8.6016390845560003E-08,-4.7142418368950001E-07, 4.9187000000000000E-12, 4.9157000000000001E-12             
    6,    5,-2.6716944584200001E-07,-5.3649453207089998E-07, 8.6156999999999993E-12, 8.6174999999999996E-12             
    6,    6, 9.4752741756869997E-09,-2.3738895021829999E-07, 7.3096000000000003E-12, 7.3054000000000008E-12             
    7,    0, 9.0507393270919995E-08, 0.0000000000000000E+00, 1.3271000000000001E-12, 0.0000000000000000E+00             
    7,    1, 2.8088542773220001E-07, 9.5125869797159994E-08, 1.3742999999999999E-12, 1.3727000000000000E-12             
    7,    2, 3.3040682385910001E-07, 9.2999197157170005E-08, 1.5845999999999999E-12, 1.5838000000000000E-12             
    7,    3, 2.5045445987979999E-07,-2.1711816259920001E-07, 2.6060000000000000E-12, 2.6058000000000001E-12             
    7,    4,-2.7499662050630000E-07,-1.2405774021670001E-07, 2.8470999999999999E-12, 2.8464000000000001E-12             
    7,    5, 1.6487259410970000E-09, 1.7927516664840000E-08, 3.8447999999999999E-12, 3.8446000000000000E-12             
    7,    6,-3.5880261964670000E-07, 1.5179539394500000E-07, 6.9953999999999999E-12, 6.9996000000000002E-12             
    7,    7, 1.5198950646189999E-09, 2.4108843948869999E-08, 8.3147000000000005E-12, 8.3065000000000006E-12             
    8,    0, 4.9477353338910002E-08, 0.0000000000000000E+00, 1.5661999999999999E-12, 0.0000000000000000E+00             
    8,    1, 2.3155759061539999E-08, 5.8895923148649999E-08, 1.6134999999999999E-12, 1.6115999999999999E-12             
    8,    2, 8.0011798808430000E-08, 6.5283270731290001E-08, 1.8398999999999999E-12, 1.8385999999999999E-12             
    8,    3,-1.9371868282890000E-08,-8.5962357329809997E-08, 2.1415000000000001E-12, 2.1403000000000001E-12             
    8,    4,-2.4435841123200000E-07, 6.9810126930179999E-08, 2.8133000000000001E-12, 2.8137000000000000E-12             
    8,    5,-2.5702139900170000E-08, 8.9202428447139995E-08, 3.4118000000000001E-12, 3.4120000000000000E-12             
    8,    6,-6.5965952994980004E-08, 3.0894420334889998E-07, 4.6819999999999996E-12, 4.6776999999999997E-12             
    8,    7, 6.7256112066829999E-08, 7.4865590299709994E-08, 8.4182999999999994E-12, 8.4178999999999995E-12             
    8,    8,-1.2403227582069999E-07, 1.2054657279930000E-07, 5.9218999999999996E-12, 5.9246000000000000E-12             
    9,    0, 2.8020023972639999E-08, 0.0000000000000000E+00, 9.2141000000000001E-13, 0.0000000000000000E+00             
    9,    1, 1.4214957788569999E-07, 2.1400142079539999E-08, 9.4505000000000010E-13, 9.4407999999999995E-13             
    9,    2, 2.1413938107700000E-08,-3.1698595629240002E-08, 1.0448999999999999E-12, 1.0441999999999999E-12             
    9,    3,-1.6061387788120000E-07,-7.4267990916810003E-08, 1.5259000000000000E-12, 1.5254999999999999E-12             
    9,    4,-9.3660267926410005E-09, 1.9902691450010000E-08, 1.5458999999999999E-12, 1.5462000000000000E-12             
    9,    5,-1.6311479462210001E-08,-5.4041584285800002E-08, 2.2603000000000000E-12, 2.2612000000000001E-12             
    9,    6, 6.2786997002890004E-08, 2.2296377478559999E-07, 2.9277000000000001E-12, 2.9291000000000001E-12             
    9,    7,-1.1798360696930000E-07,-9.6923245149610003E-08, 3.3777000000000000E-12, 3.3748000000000001E-12             
    9,    8, 1.8812913182000000E-07,-3.0022625072840002E-09, 4.9570000000000000E-12, 4.9577999999999997E-12             
    9,    9,-4.7554843861239997E-08, 9.6879491857569995E-08, 5.2759000000000002E-12, 5.2826000000000001E-12             
   10,    0, 5.3329068322550003E-08, 0.0000000000000000E+00, 8.0911999999999999E-13, 0.0000000000000000E+00             
   10,    1, 8.3761940519770002E-08,-1.3109238149480001E-07, 8.2670000000000000E-13, 8.2570000000000001E-13             
   10,    2,-9.3992065343060000E-08,-5.1275853263239998E-08, 9.0637000000000000E-13, 9.0581999999999997E-13             
   10,    3,-7.0064195364369996E-09,-1.5414180233009999E-07, 1.0268000000000000E-12, 1.0261000000000000E-12             
   10,    4,-8.4468750508890003E-08,-7.9025324107989996E-08, 1.2407000000000000E-12, 1.2413000000000000E-12             
   10,    5,-4.9289779625630002E-08,-5.0614890981040003E-08, 1.3996000000000000E-12, 1.4000000000000001E-12             
   10,    6,-3.7584567787510003E-08,-7.9770577336610001E-08, 1.9771000000000001E-12, 1.9748000000000000E-12             
   10,    7, 8.2612500555190001E-09,-3.0483644447760002E-09, 2.3263999999999999E-12, 2.3264999999999998E-12             
   10,    8, 4.0593298772309998E-08,-9.1714580486659997E-08, 3.0739000000000001E-12, 3.0705999999999999E-12             
   10,    9, 1.2538208815460001E-07,-3.7944167716179998E-08, 5.0462000000000000E-12, 5.0471000000000002E-12             
   10,   10, 1.0042285666989999E-07,-2.3862308444710000E-08, 3.4202999999999999E-12, 3.4220000000000002E-12             
   11,    0,-5.0768331703200001E-08, 0.0000000000000000E+00, 7.7074000000000001E-13, 0.0000000000000000E+00             
   11,    1, 1.5612168517990001E-08,-2.7123485305010000E-08, 7.8595000000000000E-13, 7.8505999999999999E-13             
   11,    2, 2.0113652652709999E-08,-9.8999398594790003E-08, 8.4601000000000005E-13, 8.4548000000000005E-13             
   11,    3,-3.0578055515370002E-08,-1.4883595518640000E-07, 1.1247000000000000E-12, 1.1242000000000000E-12             
   11,    4,-3.7951546985660003E-08,-6.3768525409939996E-08, 1.1375999999999999E-12, 1.1377000000000001E-12             
   11,    5, 3.7419642852659997E-08, 4.9590154172230001E-08, 1.6138000000000001E-12, 1.6147999999999999E-12             
   11,    6,-1.5654466234620001E-09, 3.4273121733110001E-08, 1.8026000000000000E-12, 1.8032000000000000E-12             
   11,    7, 4.6560074053340001E-09,-8.9825221721540006E-08, 2.2814999999999999E-12, 2.2809000000000001E-12             
   11,    8,-6.3071086559169997E-09, 2.4546716374009999E-08, 2.5706999999999999E-12, 2.5703000000000001E-12             
   11,    9,-3.1073014680160000E-08, 4.2068803922139998E-08, 3.3512000000000001E-12, 3.3512000000000001E-12             
   11,   10,-5.2240840520340002E-08,-1.8421037787379999E-08, 4.1687000000000002E-12, 4.1687999999999998E-12             
   11,   11, 4.6231385006010002E-08,-6.9669528161200001E-08, 4.8142000000000002E-12, 4.8125999999999999E-12             
   12,    0, 3.6436329921030002E-08, 0.0000000000000000E+00, 6.2393999999999996E-13, 0.0000000000000000E+00             
   12,    1,-5.3587210613359999E-08,-4.3165108282330002E-08, 6.3467999999999998E-13, 6.3394000000000002E-13             
   12,    2, 1.4266338084270000E-08, 3.1092086540510000E-08, 6.7872999999999998E-13, 6.7825999999999998E-13             
   12,    3, 3.9623027274570000E-08, 2.5061962070789999E-08, 7.5290999999999997E-13, 7.5250999999999999E-13             
   12,    4,-6.7727282797070006E-08, 3.8394857946120001E-09, 8.6086000000000003E-13, 8.6128000000000004E-13             
   12,    5, 3.0876771685960000E-08, 7.5900252628030000E-09, 9.8639999999999992E-13, 9.8656999999999990E-13             
   12,    6, 3.1330838987130001E-09, 3.8980157712759997E-08, 1.2380000000000000E-12, 1.2365000000000000E-12             
   12,    7,-1.9052569454430000E-08, 3.5727078714510002E-08, 1.3166000000000001E-12, 1.3163999999999999E-12             
   12,    8,-2.5888840905420000E-08, 1.6937013041210001E-08, 2.0302000000000000E-12, 2.0283000000000002E-12             
   12,    9, 4.1917108611929998E-08, 2.4963015540389998E-08, 2.1184999999999999E-12, 2.1183000000000000E-12             
   12,   10,-6.2020716104129999E-09, 3.0938465927180000E-08, 2.7363999999999999E-12, 2.7367999999999998E-12             
   12,   11, 1.1363480723540000E-08,-6.3865552852609998E-09, 3.9548000000000001E-12, 3.9568000000000003E-12             
   12,   12,-2.4273345651420001E-09,-1.1111637687030001E-08, 2.9805000000000001E-12, 2.9803000000000001E-12             
   13,    0, 4.1730656990300002E-08, 0.0000000000000000E+00, 5.7584000000000000E-13, 0.0000000000000000E+00             
   13,    1,-5.1441132498480001E-08, 3.8690538819969997E-08, 5.8451000000000000E-13, 5.8377000000000005E-13             
   13,    2, 5.5310560991809999E-08,-6.2694723235379995E-08, 6.1840999999999999E-13, 6.1808000000000003E-13             
   13,    3,-2.1557527680329999E-08, 9.7685618650959996E-08, 7.6590000000000000E-13, 7.6550000000000002E-13             
   13,    4,-3.6514923085990000E-09,-1.1750253375290000E-08, 7.8526000000000003E-13, 7.8543000000000002E-13             
   13,    5, 5.8369877027600003E-08, 6.7225227752679999E-08, 1.0519000000000000E-12, 1.0524000000000000E-12             
   13,    6,-3.5044643943330001E-08,-6.2733051850590004E-09, 1.1255000000000000E-12, 1.1256000000000000E-12             
   13,    7, 3.0149624305940000E-09,-7.3210288231920002E-09, 1.3838000000000000E-12, 1.3838000000000000E-12             
   13,    8,-1.0057247559359999E-08,-9.8575266829460001E-09, 1.5433000000000001E-12, 1.5433000000000001E-12             
   13,    9, 2.4768801905650001E-08, 4.5887615644320003E-08, 2.1202000000000002E-12, 2.1199999999999999E-12             
   13,   10, 4.1108945442109998E-08,-3.6839896597210000E-08, 1.8556999999999999E-12, 1.8562000000000001E-12             
   13,   11,-4.4521766114850003E-08,-4.8425966042339996E-09, 2.9685000000000001E-12, 2.9690000000000000E-12             
   13,   12,-3.1312643824049998E-08, 8.7938957738220005E-08, 3.2688000000000000E-12, 3.2707000000000002E-12             
   13,   13,-6.1208558296380005E-08, 6.8147453343510000E-08, 3.0846000000000000E-12, 3.0868000000000001E-12             
   14,    0,-2.2668829215339999E-08, 0.0000000000000000E+00, 5.6199000000000001E-13, 0.0000000000000000E+00             
   14,    1,-1.8771524553159999E-08, 2.8861455462949999E-08, 5.6931000000000002E-13, 5.6872000000000002E-13             
   14,    2,-3.5919421320889999E-08,-4.0540215936550000E-09, 5.9938000000000002E-13, 5.9903000000000002E-13             
   14,    3, 3.6514974047270002E-08, 1.9692694009060001E-08, 6.5339000000000001E-13, 6.5294000000000004E-13             
   14,    4, 1.6022425219880001E-09,-2.2661598087999999E-08, 7.2276000000000004E-13, 7.2305000000000003E-13             
   14,    5, 2.9308666188690000E-08,-1.6789392312490000E-08, 8.3951000000000002E-13, 8.3970999999999996E-13             
   14,    6,-1.9068859241140001E-08, 2.4563794811950000E-09, 9.5141000000000008E-13, 9.5038999999999995E-13             
   14,    7, 3.7630077224520001E-08,-3.9339018200269997E-09, 1.0709000000000000E-12, 1.0710000000000000E-12             
   14,    8,-3.4942473238549999E-08,-1.5447192883859999E-08, 1.4631000000000001E-12, 1.4619000000000001E-12             
